Etiquetas de fila;Cuenta de CODIGO
EL CERRITO;7
EL ORTIGAL;1
FLORIDA;4
GINEBRA;2
GUACARI;3
GUADALAJARA DE BUGA;18
IPIALES;16
JAMUNDI;11
LA UNION;1
LA VICTORIA;1
MIRANDA;1
PALMIRA;37
PASTO;30
PIENDAMO;1
POPAYAN;33
PRADERA;2
PUERTO TEJADA;8
ROZO;1
SANTANDER DE QUILICHAO;6
SEVILLA;2
SONSO;1
TULUA;25
TUMACO;7
TUQUERRES;2
VILLA GORGONA;4
VILLA RICA;1
YOTOCO;1
YUMBO;19
ZARZAL;5
EVENTO;3
(en blanco);3
Total general;3308
